Tailwater,Headwater,Flow
2.40,4.49,620.00
2.50,2.50,0.00
2.50,2.50,20.00
2.50,2.51,40.00
2.50,2.52,60.00
2.50,2.54,80.00
2.50,2.57,100.00
2.50,2.60,120.00
2.50,2.63,140.00
2.50,2.67,160.00
2.50,2.71,180.00
2.50,2.76,200.00
2.50,2.81,220.00
2.50,2.87,240.00
2.50,2.93,260.00
2.50,3.00,280.00
2.50,3.07,300.00
2.50,3.14,320.00
2.50,3.22,340.00
2.50,3.29,360.00
2.50,3.38,380.00
2.50,3.46,400.00
2.50,3.55,420.00
2.50,3.63,440.00
2.50,3.73,460.00
2.50,3.82,480.00
2.50,3.91,500.00
2.50,4.00,520.00
2.50,4.10,540.00
2.50,4.20,560.00
2.50,4.29,580.00
2.50,4.39,600.00
2.50,4.49,620.00
2.60,2.60,0.00
2.60,2.60,20.00
2.60,2.61,40.00
2.60,2.62,60.00
2.60,2.64,80.00
2.60,2.66,100.00
2.60,2.69,120.00
2.60,2.72,140.00
2.60,2.75,160.00
2.60,2.80,180.00
2.60,2.84,200.00
2.60,2.89,220.00
2.60,2.94,240.00
2.60,3.00,260.00
2.60,3.06,280.00
2.60,3.13,300.00
2.60,3.19,320.00
2.60,3.26,340.00
2.60,3.34,360.00
2.60,3.42,380.00
2.60,3.50,400.00
2.60,3.58,420.00
2.60,3.66,440.00
2.60,3.75,460.00
2.60,3.84,480.00
2.60,3.93,500.00
2.60,4.02,520.00
2.60,4.11,540.00
2.60,4.21,560.00
2.60,4.30,580.00
2.60,4.40,600.00
2.60,4.49,620.00
2.70,2.70,0.00
2.70,2.70,20.00
2.70,2.71,40.00
2.70,2.72,60.00
2.70,2.74,80.00
2.70,2.76,100.00
2.70,2.78,120.00
2.70,2.81,140.00
2.70,2.84,160.00
2.70,2.88,180.00
2.70,2.92,200.00
2.70,2.97,220.00
2.70,3.02,240.00
2.70,3.07,260.00
2.70,3.13,280.00
2.70,3.19,300.00
2.70,3.25,320.00
2.70,3.32,340.00
2.70,3.39,360.00
2.70,3.46,380.00
2.70,3.54,400.00
2.70,3.62,420.00
2.70,3.70,440.00
2.70,3.78,460.00
2.70,3.87,480.00
2.70,3.95,500.00
2.70,4.04,520.00
2.70,4.13,540.00
2.70,4.22,560.00
2.70,4.31,580.00
2.70,4.40,600.00
2.70,4.50,620.00
2.80,2.80,0.00
2.80,2.80,20.00
2.80,2.81,40.00
2.80,2.82,60.00
2.80,2.83,80.00
2.80,2.85,100.00
2.80,2.87,120.00
2.80,2.90,140.00
2.80,2.93,160.00
2.80,2.97,180.00
2.80,3.01,200.00
2.80,3.05,220.00
2.80,3.09,240.00
2.80,3.14,260.00
2.80,3.20,280.00
2.80,3.25,300.00
2.80,3.31,320.00
2.80,3.38,340.00
2.80,3.44,360.00
2.80,3.51,380.00
2.80,3.59,400.00
2.80,3.66,420.00
2.80,3.74,440.00
2.80,3.82,460.00
2.80,3.90,480.00
2.80,3.98,500.00
2.80,4.06,520.00
2.80,4.15,540.00
2.80,4.24,560.00
2.80,4.33,580.00
2.80,4.42,600.00
2.80,4.51,620.00
2.90,2.90,0.00
2.90,2.90,20.00
2.90,2.91,40.00
2.90,2.92,60.00
2.90,2.93,80.00
2.90,2.95,100.00
2.90,2.97,120.00
2.90,2.99,140.00
2.90,3.02,160.00
2.90,3.06,180.00
2.90,3.09,200.00
2.90,3.13,220.00
2.90,3.17,240.00
2.90,3.22,260.00
2.90,3.27,280.00
2.90,3.32,300.00
2.90,3.38,320.00
2.90,3.44,340.00
2.90,3.50,360.00
2.90,3.57,380.00
2.90,3.64,400.00
2.90,3.71,420.00
2.90,3.78,440.00
2.90,3.86,460.00
2.90,3.93,480.00
2.90,4.01,500.00
2.90,4.09,520.00
2.90,4.18,540.00
2.90,4.26,560.00
2.90,4.35,580.00
2.90,4.44,600.00
2.90,4.53,620.00
3.00,3.00,0.00
3.00,3.00,20.00
3.00,3.01,40.00
3.00,3.02,60.00
3.00,3.03,80.00
3.00,3.05,100.00
3.00,3.07,120.00
3.00,3.09,140.00
3.00,3.12,160.00
3.00,3.15,180.00
3.00,3.18,200.00
3.00,3.22,220.00
3.00,3.26,240.00
3.00,3.30,260.00
3.00,3.35,280.00
3.00,3.40,300.00
3.00,3.45,320.00
3.00,3.51,340.00
3.00,3.57,360.00
3.00,3.63,380.00
3.00,3.69,400.00
3.00,3.76,420.00
3.00,3.83,440.00
3.00,3.90,460.00
3.00,3.98,480.00
3.00,4.05,500.00
3.00,4.13,520.00
3.00,4.21,540.00
3.00,4.29,560.00
3.00,4.37,580.00
3.00,4.46,600.00
3.00,4.55,620.00
3.10,3.10,0.00
3.10,3.10,20.00
3.10,3.11,40.00
3.10,3.12,60.00
3.10,3.13,80.00
3.10,3.14,100.00
3.10,3.16,120.00
3.10,3.18,140.00
3.10,3.21,160.00
3.10,3.24,180.00
3.10,3.27,200.00
3.10,3.30,220.00
3.10,3.34,240.00
3.10,3.38,260.00
3.10,3.43,280.00
3.10,3.47,300.00
3.10,3.52,320.00
3.10,3.58,340.00
3.10,3.63,360.00
3.10,3.69,380.00
3.10,3.75,400.00
3.10,3.82,420.00
3.10,3.88,440.00
3.10,3.95,460.00
3.10,4.02,480.00
3.10,4.09,500.00
3.10,4.17,520.00
3.10,4.25,540.00
3.10,4.32,560.00
3.10,4.41,580.00
3.10,4.49,600.00
3.10,4.57,620.00
3.20,3.20,0.00
3.20,3.20,20.00
3.20,3.21,40.00
3.20,3.21,60.00
3.20,3.23,80.00
3.20,3.24,100.00
3.20,3.26,120.00
3.20,3.28,140.00
3.20,3.30,160.00
3.20,3.33,180.00
3.20,3.36,200.00
3.20,3.39,220.00
3.20,3.43,240.00
3.20,3.47,260.00
3.20,3.51,280.00
3.20,3.55,300.00
3.20,3.60,320.00
3.20,3.65,340.00
3.20,3.70,360.00
3.20,3.76,380.00
3.20,3.82,400.00
3.20,3.88,420.00
3.20,3.94,440.00
3.20,4.00,460.00
3.20,4.07,480.00
3.20,4.14,500.00
3.20,4.21,520.00
3.20,4.29,540.00
3.20,4.36,560.00
3.20,4.44,580.00
3.20,4.52,600.00
3.20,4.60,620.00
3.30,3.30,0.00
3.30,3.30,20.00
3.30,3.31,40.00
3.30,3.31,60.00
3.30,3.32,80.00
3.30,3.34,100.00
3.30,3.35,120.00
3.30,3.37,140.00
3.30,3.40,160.00
3.30,3.42,180.00
3.30,3.45,200.00
3.30,3.48,220.00
3.30,3.51,240.00
3.30,3.55,260.00
3.30,3.59,280.00
3.30,3.63,300.00
3.30,3.68,320.00
3.30,3.72,340.00
3.30,3.77,360.00
3.30,3.83,380.00
3.30,3.88,400.00
3.30,3.94,420.00
3.30,4.00,440.00
3.30,4.06,460.00
3.30,4.13,480.00
3.30,4.19,500.00
3.30,4.26,520.00
3.30,4.33,540.00
3.30,4.41,560.00
3.30,4.48,580.00
3.30,4.56,600.00
3.30,4.63,620.00
3.40,3.40,0.00
3.40,3.40,20.00
3.40,3.41,40.00
3.40,3.41,60.00
3.40,3.42,80.00
3.40,3.44,100.00
3.40,3.45,120.00
3.40,3.47,140.00
3.40,3.49,160.00
3.40,3.51,180.00
3.40,3.54,200.00
3.40,3.57,220.00
3.40,3.60,240.00
3.40,3.64,260.00
3.40,3.67,280.00
3.40,3.71,300.00
3.40,3.76,320.00
3.40,3.80,340.00
3.40,3.85,360.00
3.40,3.90,380.00
3.40,3.95,400.00
3.40,4.01,420.00
3.40,4.06,440.00
3.40,4.12,460.00
3.40,4.18,480.00
3.40,4.25,500.00
3.40,4.31,520.00
3.40,4.38,540.00
3.40,4.45,560.00
3.40,4.52,580.00
3.40,4.60,600.00
3.40,4.67,620.00
3.50,3.50,0.00
3.50,3.50,20.00
3.50,3.51,40.00
3.50,3.51,60.00
3.50,3.52,80.00
3.50,3.53,100.00
3.50,3.55,120.00
3.50,3.57,140.00
3.50,3.59,160.00
3.50,3.61,180.00
3.50,3.63,200.00
3.50,3.66,220.00
3.50,3.69,240.00
3.50,3.72,260.00
3.50,3.76,280.00
3.50,3.80,300.00
3.50,3.84,320.00
3.50,3.88,340.00
3.50,3.93,360.00
3.50,3.97,380.00
3.50,4.02,400.00
3.50,4.08,420.00
3.50,4.13,440.00
3.50,4.19,460.00
3.50,4.25,480.00
3.50,4.31,500.00
3.50,4.37,520.00
3.50,4.44,540.00
3.50,4.50,560.00
3.50,4.57,580.00
3.50,4.64,600.00
3.50,4.71,620.00
3.60,3.60,0.00
3.60,3.60,20.00
3.60,3.61,40.00
3.60,3.61,60.00
3.60,3.62,80.00
3.60,3.63,100.00
3.60,3.65,120.00
3.60,3.66,140.00
3.60,3.68,160.00
3.60,3.70,180.00
3.60,3.73,200.00
3.60,3.75,220.00
3.60,3.78,240.00
3.60,3.81,260.00
3.60,3.85,280.00
3.60,3.88,300.00
3.60,3.92,320.00
3.60,3.96,340.00
3.60,4.01,360.00
3.60,4.05,380.00
3.60,4.10,400.00
3.60,4.15,420.00
3.60,4.20,440.00
3.60,4.25,460.00
3.60,4.31,480.00
3.60,4.37,500.00
3.60,4.43,520.00
3.60,4.49,540.00
3.60,4.56,560.00
3.60,4.62,580.00
3.60,4.69,600.00
3.60,4.76,620.00
3.70,3.70,0.00
3.70,3.70,20.00
3.70,3.70,40.00
3.70,3.71,60.00
3.70,3.72,80.00
3.70,3.73,100.00
3.70,3.74,120.00
3.70,3.76,140.00
3.70,3.78,160.00
3.70,3.80,180.00
3.70,3.82,200.00
3.70,3.85,220.00
3.70,3.87,240.00
3.70,3.90,260.00
3.70,3.94,280.00
3.70,3.97,300.00
3.70,4.01,320.00
3.70,4.05,340.00
3.70,4.09,360.00
3.70,4.13,380.00
3.70,4.18,400.00
3.70,4.22,420.00
3.70,4.27,440.00
3.70,4.32,460.00
3.70,4.38,480.00
3.70,4.43,500.00
3.70,4.49,520.00
3.70,4.55,540.00
3.70,4.61,560.00
3.70,4.68,580.00
3.70,4.74,600.00
3.70,4.81,620.00
3.80,3.80,0.00
3.80,3.80,20.00
3.80,3.80,40.00
3.80,3.81,60.00
3.80,3.82,80.00
3.80,3.83,100.00
3.80,3.84,120.00
3.80,3.86,140.00
3.80,3.87,160.00
3.80,3.89,180.00
3.80,3.91,200.00
3.80,3.94,220.00
3.80,3.97,240.00
3.80,3.99,260.00
3.80,4.02,280.00
3.80,4.06,300.00
3.80,4.09,320.00
3.80,4.13,340.00
3.80,4.17,360.00
3.80,4.21,380.00
3.80,4.25,400.00
3.80,4.30,420.00
3.80,4.35,440.00
3.80,4.40,460.00
3.80,4.45,480.00
3.80,4.50,500.00
3.80,4.56,520.00
3.80,4.61,540.00
3.80,4.67,560.00
3.80,4.74,580.00
3.80,4.80,600.00
3.80,4.86,620.00
3.90,3.90,0.00
3.90,3.90,20.00
3.90,3.90,40.00
3.90,3.91,60.00
3.90,3.92,80.00
3.90,3.93,100.00
3.90,3.94,120.00
3.90,3.95,140.00
3.90,3.97,160.00
3.90,3.99,180.00
3.90,4.01,200.00
3.90,4.03,220.00
3.90,4.06,240.00
3.90,4.08,260.00
3.90,4.11,280.00
3.90,4.15,300.00
3.90,4.18,320.00
3.90,4.21,340.00
3.90,4.25,360.00
3.90,4.29,380.00
3.90,4.33,400.00
3.90,4.38,420.00
3.90,4.42,440.00
3.90,4.47,460.00
3.90,4.52,480.00
3.90,4.57,500.00
3.90,4.63,520.00
3.90,4.68,540.00
3.90,4.74,560.00
3.90,4.80,580.00
3.90,4.86,600.00
3.90,4.92,620.00
4.00,4.00,0.00
4.00,4.00,20.00
4.00,4.00,40.00
4.00,4.01,60.00
4.00,4.02,80.00
4.00,4.03,100.00
4.00,4.04,120.00
4.00,4.05,140.00
4.00,4.07,160.00
4.00,4.09,180.00
4.00,4.10,200.00
4.00,4.13,220.00
4.00,4.15,240.00
4.00,4.18,260.00
4.00,4.21,280.00
4.00,4.24,300.00
4.00,4.27,320.00
4.00,4.30,340.00
4.00,4.34,360.00
4.00,4.38,380.00
4.00,4.42,400.00
4.00,4.46,420.00
4.00,4.50,440.00
4.00,4.55,460.00
4.00,4.59,480.00
4.00,4.64,500.00
4.00,4.70,520.00
4.00,4.75,540.00
4.00,4.80,560.00
4.00,4.86,580.00
4.00,4.92,600.00
4.00,4.98,620.00
4.10,4.10,0.00
4.10,4.10,20.00
4.10,4.10,40.00
4.10,4.11,60.00
4.10,4.12,80.00
4.10,4.13,100.00
4.10,4.14,120.00
4.10,4.15,140.00
4.10,4.16,160.00
4.10,4.18,180.00
4.10,4.20,200.00
4.10,4.22,220.00
4.10,4.24,240.00
4.10,4.27,260.00
4.10,4.30,280.00
4.10,4.33,300.00
4.10,4.36,320.00
4.10,4.39,340.00
4.10,4.42,360.00
4.10,4.46,380.00
4.10,4.50,400.00
4.10,4.54,420.00
4.10,4.58,440.00
4.10,4.63,460.00
4.10,4.67,480.00
4.10,4.72,500.00
4.10,4.77,520.00
4.10,4.82,540.00
4.10,4.87,560.00
4.10,4.93,580.00
4.10,4.98,600.00
4.10,5.04,620.00
4.20,4.20,0.00
4.20,4.20,20.00
4.20,4.20,40.00
4.20,4.21,60.00
4.20,4.22,80.00
4.20,4.22,100.00
4.20,4.23,120.00
4.20,4.25,140.00
4.20,4.26,160.00
4.20,4.28,180.00
4.20,4.30,200.00
4.20,4.32,220.00
4.20,4.34,240.00
4.20,4.36,260.00
4.20,4.39,280.00
4.20,4.42,300.00
4.20,4.45,320.00
4.20,4.48,340.00
4.20,4.51,360.00
4.20,4.55,380.00
4.20,4.58,400.00
4.20,4.62,420.00
4.20,4.66,440.00
4.20,4.71,460.00
4.20,4.75,480.00
4.20,4.80,500.00
4.20,4.84,520.00
4.20,4.89,540.00
4.20,4.94,560.00
4.20,5.00,580.00
4.20,5.05,600.00
4.20,5.11,620.00
4.30,4.30,0.00
4.30,4.30,20.00
4.30,4.30,40.00
4.30,4.31,60.00
4.30,4.31,80.00
4.30,4.32,100.00
4.30,4.33,120.00
4.30,4.35,140.00
4.30,4.36,160.00
4.30,4.38,180.00
4.30,4.39,200.00
4.30,4.41,220.00
4.30,4.43,240.00
4.30,4.46,260.00
4.30,4.48,280.00
4.30,4.51,300.00
4.30,4.54,320.00
4.30,4.57,340.00
4.30,4.60,360.00
4.30,4.63,380.00
4.30,4.67,400.00
4.30,4.71,420.00
4.30,4.75,440.00
4.30,4.79,460.00
4.30,4.83,480.00
4.30,4.87,500.00
4.30,4.92,520.00
4.30,4.97,540.00
4.30,5.02,560.00
4.30,5.07,580.00
4.30,5.12,600.00
4.30,5.18,620.00
4.40,4.40,0.00
4.40,4.40,20.00
4.40,4.40,40.00
4.40,4.41,60.00
4.40,4.41,80.00
4.40,4.42,100.00
4.40,4.43,120.00
4.40,4.44,140.00
4.40,4.46,160.00
4.40,4.47,180.00
4.40,4.49,200.00
4.40,4.51,220.00
4.40,4.53,240.00
4.40,4.55,260.00
4.40,4.58,280.00
4.40,4.60,300.00
4.40,4.63,320.00
4.40,4.66,340.00
4.40,4.69,360.00
4.40,4.72,380.00
4.40,4.76,400.00
4.40,4.79,420.00
4.40,4.83,440.00
4.40,4.87,460.00
4.40,4.91,480.00
4.40,4.95,500.00
4.40,5.00,520.00
4.40,5.05,540.00
4.40,5.09,560.00
4.40,5.14,580.00
4.40,5.19,600.00
4.40,5.25,620.00
4.50,4.50,0.00
4.50,4.50,20.00
4.50,4.50,40.00
4.50,4.51,60.00
4.50,4.51,80.00
4.50,4.52,100.00
4.50,4.53,120.00
4.50,4.54,140.00
4.50,4.56,160.00
4.50,4.57,180.00
4.50,4.59,200.00
4.50,4.60,220.00
4.50,4.62,240.00
4.50,4.65,260.00
4.50,4.67,280.00
4.50,4.69,300.00
4.50,4.72,320.00
4.50,4.75,340.00
4.50,4.78,360.00
4.50,4.81,380.00
4.50,4.84,400.00
4.50,4.88,420.00
4.50,4.92,440.00
4.50,4.95,460.00
4.50,4.99,480.00
4.50,5.04,500.00
4.50,5.08,520.00
4.50,5.12,540.00
4.50,5.17,560.00
4.50,5.22,580.00
4.50,5.27,600.00
4.50,5.32,620.00
4.60,4.60,0.00
4.60,4.60,20.00
4.60,4.60,40.00
4.60,4.61,60.00
4.60,4.61,80.00
4.60,4.62,100.00
4.60,4.63,120.00
4.60,4.64,140.00
4.60,4.65,160.00
4.60,4.67,180.00
4.60,4.68,200.00
4.60,4.70,220.00
4.60,4.72,240.00
4.60,4.74,260.00
4.60,4.76,280.00
4.60,4.79,300.00
4.60,4.81,320.00
4.60,4.84,340.00
4.60,4.87,360.00
4.60,4.90,380.00
4.60,4.93,400.00
4.60,4.97,420.00
4.60,5.00,440.00
4.60,5.04,460.00
4.60,5.08,480.00
4.60,5.12,500.00
4.60,5.16,520.00
4.60,5.20,540.00
4.60,5.25,560.00
4.60,5.30,580.00
4.60,5.34,600.00
4.60,5.39,620.00
4.70,4.70,0.00
4.70,4.70,20.00
4.70,4.70,40.00
4.70,4.71,60.00
4.70,4.71,80.00
4.70,4.72,100.00
4.70,4.73,120.00
4.70,4.74,140.00
4.70,4.75,160.00
4.70,4.77,180.00
4.70,4.78,200.00
4.70,4.80,220.00
4.70,4.82,240.00
4.70,4.84,260.00
4.70,4.86,280.00
4.70,4.88,300.00
4.70,4.91,320.00
4.70,4.93,340.00
4.70,4.96,360.00
4.70,4.99,380.00
4.70,5.02,400.00
4.70,5.06,420.00
4.70,5.09,440.00
4.70,5.13,460.00
4.70,5.16,480.00
4.70,5.20,500.00
4.70,5.24,520.00
4.70,5.29,540.00
4.70,5.33,560.00
4.70,5.38,580.00
4.70,5.42,600.00
4.70,5.47,620.00
4.80,4.80,0.00
4.80,4.80,20.00
4.80,4.80,40.00
4.80,4.81,60.00
4.80,4.81,80.00
4.80,4.82,100.00
4.80,4.83,120.00
4.80,4.84,140.00
4.80,4.85,160.00
4.80,4.86,180.00
4.80,4.88,200.00
4.80,4.90,220.00
4.80,4.91,240.00
4.80,4.93,260.00
4.80,4.95,280.00
4.80,4.98,300.00
4.80,5.00,320.00
4.80,5.03,340.00
4.80,5.06,360.00
4.80,5.08,380.00
4.80,5.12,400.00
4.80,5.15,420.00
4.80,5.18,440.00
4.80,5.22,460.00
4.80,5.25,480.00
4.80,5.29,500.00
4.80,5.33,520.00
4.80,5.37,540.00
4.80,5.41,560.00
4.80,5.46,580.00
4.80,5.50,600.00
4.80,5.55,620.00
4.90,4.90,0.00
4.90,4.90,20.00
4.90,4.90,40.00
4.90,4.91,60.00
4.90,4.91,80.00
4.90,4.92,100.00
4.90,4.93,120.00
4.90,4.94,140.00
4.90,4.95,160.00
4.90,4.96,180.00
4.90,4.98,200.00
4.90,4.99,220.00
4.90,5.01,240.00
4.90,5.03,260.00
4.90,5.05,280.00
4.90,5.07,300.00
4.90,5.10,320.00
4.90,5.12,340.00
4.90,5.15,360.00
4.90,5.18,380.00
4.90,5.21,400.00
4.90,5.24,420.00
4.90,5.27,440.00
4.90,5.31,460.00
4.90,5.34,480.00
4.90,5.38,500.00
4.90,5.42,520.00
4.90,5.46,540.00
4.90,5.50,560.00
4.90,5.54,580.00
4.90,5.59,600.00
4.90,5.63,620.00
